id,name
0,'and
1,Abyss
2,Action
3,Ah-ro-he
4,Aibric
5,Aidan
6,Alas
7,Amergin
8,Angus
9,Aodh
10,Apple
11,Apples
12,Balor
13,Battle
14,Beauty
15,Birds
16,Blood
17,Blows
18,Boat
19,Body
20,Boughs
21,Boyne
22,Branches
23,Brian
24,Bright
25,Brigit
26,Brothers
27,Brugh-fer
28,Bruiden
29,Caille
30,California
31,Carpre
32,Cauldron
33,Cecht
34,Champion
35,Chiefs
36,Child
37,Children
38,Cian
39,Cian.
40,Cleena
41,Cloak
42,Come
43,Conary
44,Conn
45,Conn.
46,Connla
47,Cormac
48,Corrib
49,Country
50,Court
51,Cow
52,Cualu
53,Dagda
54,Dana
55,Danaan
56,Danaans
57,Dark
58,Day
59,Death
60,Deathless
61,Derg-loch
62,Derga
63,Dessa
64,Destiny
65,Destruction
66,Diancecht
67,Doom
68,Door
69,Doors
70,Dun
71,Earth
72,Earth-shaker
73,East
74,Eastern
75,Easy
76,Enya
77,Eochy
78,Eochy.
79,Eric
80,Eric-fine
81,Eterscel
82,Ethaun
83,Everything
84,Evil
85,Eye
86,Eyes
87,Faery
88,Farewell
89,Father
90,Fauda
91,Feathers
92,Feet
93,Fer
94,Fiacra
95,Figol
96,Fionnuala
97,Fire
98,Flame
99,Fleece
100,Fly
101,Fomor
102,Fomorians
103,Fool
104,Form
105,Forth
106,Fortune
107,Fuamach
108,Gar
109,Gara
110,Garad
111,Garth
112,Gifts
113,Gladness
114,Gobhaun
115,Gobniu
116,God
117,Gods
118,Gold
119,Golden
120,Grass
121,Great
122,Hair
123,Halter
124,Hand
125,Hands
126,Harp
127,Haughty
128,Head
129,Healing
130,Heart
131,Heaven
132,Heavens
133,Help
134,Heroes
135,High
136,Hill
137,Hills
138,Horses
139,Host
140,Hound
141,House
142,Ildana
143,Ildathach
144,Ingcel
145,Inisfail
146,Ireland
147,Island
148,Kemoc
149,King
150,Kings
151,Kinsfolk
152,Knowledge
153,Lake
154,Lakes
155,Land
156,Lauve
157,Le-fri-flaith
158,Library
159,Liffey
160,Light
161,Lir
162,Loch
163,Lomna
164,Lords
165,Lough
166,Luck-child
167,Lugh
168,Lugh.
169,Luimnigh
170,Mac
171,Magic
172,Makes
173,Man
174,Mananaun
175,Mantle
176,Mathgen
177,Midkena
178,Midyir
179,Mighty
180,Milesians
181,Mor
182,Mother
183,Mountain
184,Mountains
185,Moy
186,Moyle
187,Murloch
188,Music
189,Name
190,Nay
191,Night
192,North
193,Nuada
194,Nuada.
195,Ochone
196,Ogma
197,One
198,Ones
199,Osric
200,Palace
201,Peace
202,People
203,Pit
204,Place
205,Plain
206,Plenty
207,Pooka
208,Pot
209,Power
210,Price
211,Queen
212,Raid
213,Reagh
214,Regain
215,Richmond
216,Riders
217,Rivers
218,Road
219,Rode
220,Rogain
221,Round
222,Rury
223,Saint
224,Salmon
225,Saor
226,Sea
227,Sea-hounds
228,Seat
229,Seven
230,Shadow
231,Shannon
232,Ships
233,Shortening
234,Silver
235,Singing
236,Skin
237,Sky
238,Sleet
239,Slieve
240,Smith
241,Son
242,Sons
243,Sorrow
244,Spear
245,Spell
246,Splendour
247,Sshh
248,Stars
249,Step
250,Stone
251,Strength
252,Strike
253,Sun
254,Swans
255,Swift
256,Sword
257,Tamer
258,Tara
259,Tears
260,Teigue
261,Thee
262,Things
263,Thoth
264,Thou
265,Till
266,Time
267,Trees
268,Truth
269,Tuatha
270,Turann
271,Turnip
272,Twelve
273,University
274,Urcar
275,Victory
276,Voice
277,Vulture
278,Water
279,Wave
280,Waves
281,Way
282,Weapons
283,Well
284,West
285,White
286,Who
287,Will
288,Wind
289,Woe
290,Woman
291,Wonder-tales
292,Word
293,Words
294,World
295,Worlds
296,Year
297,Years
298,Youth
