id,name
0,Acrisios
1,Admetus
2,Adonis
3,Aeetes
4,Aegeus
5,Aeson
6,Aethra
7,Africa
8,Air
9,Alcestis
10,Alcmena
11,Althaea
12,Amazons
13,Amphitryon
14,Andromeda
15,Anteia
16,Aphrodite
17,Apollo
18,Apple
19,Arachne
20,Ares
21,Argo
22,Argonauts
23,Argos
24,Arms
25,Arrow
26,Arrows
27,Artemis
28,Artist
29,Atalanta
30,Athamas
31,Athene
32,Athenians
33,Athens
34,Atlantic
35,Atlas
36,Augeas
37,Baby
38,Back
39,Baucis
40,Beast
41,Beasts
42,Beauty
43,Bed
44,Bellerophon
45,Bender
46,Boar
47,Box
48,Boy
49,Bride
50,Brother
51,Bull
52,Cassiopeia
53,Cattle
54,Cave
55,Centaur
56,Cerberus
57,Challenge
58,Chariot
59,Charon
60,Cheiron
61,Chimera
62,City
63,Cloak
64,Club
65,Clymene
66,Colchis
67,Comrades
68,Country
69,Coward
70,Craftsman
71,Cretan
72,Crete
73,Cupid
74,Daedalus
75,Danae
76,Daphne
77,Dark
78,Daughter
79,Daughters
80,Day
81,Death
82,Deed
83,Deianira
84,Demeter
85,Deucalion
86,Dictys
87,Dionysus
88,Discus
89,Ears
90,Earth
91,Echo
92,Egypt
93,Endymion
94,Enna
95,Eos
96,Epaphos
97,Epimetheus
98,Eurystheus
99,Eyes
100,Face
101,Fame
102,Fangs
103,Father
104,Fire
105,Fleece
106,Flowers
107,Fortunate
108,Gate
109,Geryon
110,Ghosts
111,Gibraltar
112,Gift
113,God
114,Goddess
115,Gods
116,Gold
117,Gorgon
118,Gorgons
119,Great
120,Greece
121,Greek
122,Greeks
123,Ground
124,Had
125,Hades
126,Hair
127,Half
128,Hand
129,Hands
130,Head
131,Heads
132,Heart
133,Hecate
134,Helle
135,Hera
136,Heracles
137,Hermes
138,Hero
139,Heroes
140,Hippolyte
141,Hippomenes
142,Home
143,Honor
144,Horse
145,Horses
146,Hours
147,House
148,Husband
149,Hyacinthus
150,Hydra
151,Icarus
152,Ing
153,Ino
154,Iphicles
155,Iris
156,Island
157,Jason
158,Jaws
159,Justice
160,King
161,Kingdom
162,Labor
163,Labors
164,Lamp
165,Land
166,Leto
167,Lights
168,Lion
169,Lolaus
170,Love
171,Lycia
172,Lyre
173,Maia
174,Maiden
175,Man
176,Meadow
177,Medea
178,Medusa
179,Meleager
180,Men
181,Messenger
182,Metaneira
183,Midas
184,Mighty
185,Minos
186,Minotaur
187,Monster
188,Month
189,Months
190,Mother
191,Mountain
192,Mycenae
193,Myths
194,Narcissus
195,Nephele
196,Nereus
197,Ninus
198,Niobe
199,None
200,North
201,Nothing
202,Ocean
203,Olympus
204,One
205,Orpheus
206,Others
207,Palace
208,Pale
209,Pan
210,Pandora
211,Part
212,Pegasus
213,Pelias
214,People
215,Persephone
216,Perseus
217,Person
218,Phaethon
219,Phoebus
220,Phrixus
221,Pillars
222,Pine
223,Pity
224,Place
225,Polydectes
226,Poseidon
227,Powers
228,Princess
229,Procrustes
230,Proitos
231,Prometheus
232,Protector
233,Psyche
234,Pygmalion
235,Pyramus
236,Pyrrha
237,Queen
238,Refuge
239,Revenge
240,River
241,Rock
242,Sandals
243,Sea
244,Ship
245,Side
246,Silenus
247,Sinis
248,Sisters
249,Something
250,Son
251,Sons
252,Spain
253,Spear
254,Spring
255,Stables
256,Stone
257,Stood
258,Stories
259,Story
260,Strength
261,Styx
262,Sun
263,Swift
264,Sword
265,Task
266,Thebes
267,Thereupon
268,Theseus
269,Thing
270,Thisbe
271,Throne
272,Time
273,Tmolus
274,Tomb
275,Tribute
276,Trickery
277,Trident
278,Troezen
279,Trouble
280,Uncles
281,Underworld
282,Valley
283,Voice
284,Waist
285,Was
286,Water
287,Way
288,Weight
289,Wife
290,Wind
291,Wine
292,Wings
293,Woman
294,Woods
295,Year
296,Youth
297,Zeus
